personId,eventId,best,worldRank,continentRank,countryRank
2017KECH01,333bf,6906,397,141,61
2010KARY02,333bf,6911,398,146,15
2015BART05,333bf,6916,399,70,53
2011KULS01,333bf,6919,400,142,13
2014PACE01,333bf,6929,401,147,20
2015RUSS03,333bf,6963,402,71,54
2013PRZY02,333bf,6974,403,72,55
2020TAYL02,333bf,6984,404,19,6
2009SULE01,333bf,7005,405,148,2
2017BHAT02,333bf,7032,406,143,14
2011CHEC01,333bf,7037,407,149,16
2013KATO01,333bf,7088,408,73,56
2015FELD01,333bf,7095,409,74,57
2013SAVO01,333bf,7096,410,150,1
2012WESC01,333bf,7099,411,151,20
2016PRES04,333bf,7099,411,151,19
2019PANG12,333bf,7151,413,75,10
2016PFEI01,333bf,7157,414,76,58
2017OSTD02,333bf,7169,415,77,59
2011MIKE01,333bf,7170,416,78,60
2015RIBI01,333bf,7177,417,153,1
2016YEJI01,333bf,7188,418,144,62
2010GARC02,333bf,7226,419,154,9
2012MECO01,333bf,7234,420,155,10
2016CARA04,333bf,7236,421,145,10
2009ANAM01,333bf,7246,422,146,14
2010FANY01,333bf,7248,423,147,63
2010DAVI06,333bf,7286,424,79,11
2016IHLE01,333bf,7290,425,156,21
2020MOCO01,333bf,7306,426,20,14
2015CECC01,333bf,7343,427,25,9
2015LONG01,333bf,7351,428,148,3
2012GOOD02,333bf,7359,429,157,20
2018WROT01,333bf,7368,430,80,61
2007GUIM01,333bf,7418,431,26,10
2013ERTA01,333bf,7433,432,158,1
2017AHMA06,333bf,7457,433,149,15
2014DETU01,333bf,7458,434,159,13
2016TAMH01,333bf,7462,435,150,15
2014LIBM01,333bf,7466,436,160,1
2007HESS01,333bf,7476,437,81,62
2015YONG02,333bf,7485,438,151,9
2016GIUL01,333bf,7498,439,161,5
2008CLEM01,333bf,7502,440,82,63
2011FERA01,333bf,7506,441,83,64
2006OOKU01,333bf,7509,442,152,19
2017CHEX02,333bf,7515,443,153,64
2013PENG02,333bf,7516,444,154,65
2011CAHY03,333bf,7524,445,155,16
2018KHAN26,333bf,7526,446,84,65
2015YOUC01,333bf,7535,447,156,5
2016NAGU02,333bf,7548,448,157,11
2018LAPT02,333bf,7582,449,162,17
2015MACK06,333bf,7586,450,85,66
2016JONE04,333bf,7610,451,21,15
2008CIRN01,333bf,7621,452,163,8
2011YUBE01,333bf,7665,453,86,67
2007POLI01,333bf,7671,454,164,9
2009ADAM01,333bf,7690,455,87,68
2016QUAN03,333bf,7713,456,22,16
